"","overall_qual","overall_cond","year_built","gr_liv_area","bedroom_abv_gr","kitchen_abv_gr","tot_rms_abv_grd","fireplaces","garage_area","open_porch_sf","pool_area","mo_sold","yr_sold","sale_price"
"1",7,5,1931,1774,2,2,8,2,468,0,0,4,2008,11.7745202026587
"2",5,6,1939,1077,2,2,5,2,205,4,0,1,2008,11.6784399034478
"3",4,5,1967,1296,2,2,6,0,516,0,0,10,2006,11.4075649493124
"4",5,7,1976,1060,3,1,6,1,572,110,0,6,2007,11.7745202026587
"5",4,4,1920,1317,3,1,6,0,250,54,0,7,2008,10.5966347330961
"6",4,5,1955,1152,2,2,6,0,0,0,0,6,2008,11.3144745262464
"7",4,5,1920,1452,2,3,8,0,0,0,0,6,2009,11.6351430976945
"8",5,7,1966,955,3,1,6,0,386,0,0,1,2007,11.7519423654407
"9",6,6,1934,1176,3,1,6,1,528,0,0,9,2006,11.6483301019764
"10",5,5,1963,816,2,1,5,0,516,0,0,5,2010,11.6082356447746
"11",5,7,1972,780,2,1,4,0,352,0,0,1,2008,11.7352686961137
"12",4,6,1945,747,2,1,4,0,220,0,0,6,2010,11.289781913656
"13",5,5,1948,1285,2,1,6,0,240,0,0,1,2008,11.7519423654407
"14",5,6,1910,1230,2,1,5,0,440,0,0,5,2009,11.6082356447746
"15",5,5,1960,1065,3,1,6,0,461,0,0,7,2007,11.7479975871497
"16",3,2,1915,1526,2,1,6,0,0,0,0,10,2009,11.3504065354725
"17",4,5,1994,990,3,1,5,0,0,0,0,8,2007,11.7248058240057
"18",4,5,1950,1040,2,1,4,0,420,29,0,7,2006,11.6073261403917
"19",5,3,1961,1235,2,1,6,0,480,0,0,12,2006,11.4988265405907
"20",4,5,1965,960,3,1,6,0,432,0,0,5,2007,11.4589971229447
"21",4,5,1959,1225,3,1,6,0,0,0,0,1,2010,11.7671800113095
"22",5,5,1979,1535,4,2,8,0,410,0,0,6,2009,11.6865762053166
"23",4,7,1885,1047,2,1,6,0,273,0,0,8,2007,11.5129254649702
"24",5,5,1948,789,2,1,5,0,250,0,0,4,2008,11.6526874073454
"25",5,7,1919,1517,3,1,7,0,0,0,0,8,2007,11.6526874073454
"26",4,5,1939,1123,3,1,4,0,264,0,0,6,2007,11.5129254649702
"27",6,8,1935,754,2,1,5,0,0,0,0,6,2006,11.3445068133453
